uniform,normal,standard_normal,x,y
0.141698533,6.7818420177,-0.2756785817,59.4058462249,188.8391457663
0.7808997335,12.3257064074,-0.2490494227,64.4039519981,203.9666088809
0.1825078968,7.2824530688,0.7032046177,67.3096604932,217.4450045683
0.2303497649,7.7869136114,0.0162092087,56.7067125768,182.2011837739
0.553293993,10.4019641877,0.5818803451,62.1674978814,201.4118953698
0.9382299834,14.6202501069,-0.308861154,62.4419817098,197.7816393593
0.7808308008,12.3250064027,0.5964492496,58.5109348974,190.5150509405
0.4744467919,9.8077112352,1.4960297007,58.1491016229,193.927453372
0.2055501509,7.5341233687,0.3191890356,62.603811957,201.4073810493
0.948043088,14.8785053747,0.7306112288,62.2190417441,202.3101813762
0.3900668821,9.1625658372,-1.7892743889,66.3947524791,202.2378854926
0.22657483,7.749476726,1.1830760775,62.1379334721,204.3291808037
0.7108349835,11.66747702,-0.1832035711,59.0204396661,188.1453011428
0.4680144712,9.7592142346,-1.0555945642,61.1508187818,190.1744835243
0.721878256,11.7652909749,0.8007092072,62.5626211082,203.6914093606
0.0559936874,5.2320294849,0.6676440194,61.1157701882,198.6855306615
0.083242086,5.8492313704,0.5090486276,62.7615128194,202.8297815964
0.8639219345,13.2943322554,-0.1395697476,63.9230935076,203.071431785
0.5524142219,10.3952897468,-0.1271794789,59.6556696224,190.3311114729
0.9927354297,17.331723281,0.5335931532,57.324005656,186.6399827341
0.9261058907,14.3421647081,-0.0272094739,63.3593653375,201.9420486429
0.8119766689,12.6556117393,-1.486186852,67.5334441794,207.1693982786
0.449684897,9.6206275188,0.5396161307,67.114329567,216.0410693545
0.1913886396,7.3816285033,0.2551395946,56.2671289947,182.0770849571
0.6669015861,11.2941204482,-0.3228588934,58.3518788688,185.4413421397
0.333400798,8.7083747196,-0.3217922048,62.1958803991,196.9786801732
0.6344960008,11.0313549336,-0.4292768654,59.5546224501,188.517483023
0.3860879254,9.1314100981,0.3210261656,62.3369394977,200.6159493209
0.1987747827,7.461982905,-0.847063726,63.4105345348,197.9962849743
0.0988638904,6.1358432953,-0.7110523233,60.2445607979,189.1784207771
0.3445341887,8.7996409915,-1.5977492106,58.5421531465,179.6377133863
0.9616150132,15.3092288118,-0.526246207,62.4091512254,196.5962226411
0.4902125131,9.9263918411,-0.1992313029,63.5194255303,201.5621200767
0.5001787795,10.0013444011,-0.2148001169,64.2465553617,203.6656655007
0.5893037061,10.677262649,-1.1045163089,60.5360917859,188.0856938135
0.2694550401,8.1566140172,0.6405095648,65.6293759052,212.0906755397
0.2513844748,7.9895818903,-1.2319581972,53.6349563723,166.7450781309
0.9682814784,15.5683476298,-0.312137331,59.318798909,188.3957100722
0.8517268745,13.1316053882,1.1161299548,60.9140124271,200.3226870552
0.5549683855,10.4146726031,-1.2804326761,58.4067201143,180.8179969623
0.1598286906,7.014513389,-0.441841981,58.7752374932,186.1165025744
0.8272380263,12.8299207011,1.6848393265,60.3904784989,201.595632129
0.1119959843,6.3520554939,0.3375407354,62.3519997297,200.7437028662
0.9008318735,13.8589183129,0.1840629556,63.1313936903,202.314495849
0.0401371401,4.7527094589,0.6374406883,61.4076876871,199.4102665029
0.8435865089,13.0279237646,0.797728778,60.1639622303,196.4805305807
0.8093204098,12.6261841118,0.4479644154,61.3348134478,198.2442624203
0.0746533889,5.6740468357,0.1980151971,60.3875056628,194.152592974
0.248772329,7.9649256484,-0.1114154933,66.3591072996,210.5202444324
0.9428538247,14.737571732,-0.8381289043,66.0457369566,205.9465663483
0.1052870974,6.2440356556,0.1617596388,68.4735901052,218.2295685097
0.5128772175,10.0968520139,-1.5932499538,64.1503851569,196.4849057017
0.5333131717,10.2508030575,0.3669299296,59.5118166153,192.3700994937
0.6301322815,10.9966111516,0.0076145948,61.8418164205,197.5635222354
0.1189136261,6.4586950282,0.0297815101,65.6780302211,209.182998214
0.8984587262,13.8184547167,1.0883223562,57.2012268661,189.0452923793
0.7688926547,12.2056148214,0.3501072304,66.2945359092,212.6341438796
0.0319599998,4.4417876535,-1.4527786874,63.9508544316,196.5886698578
0.9621163977,15.3273760393,0.7642416596,62.4738816784,203.2428533331
0.8377267478,12.9554737746,-0.1349461226,55.0489565445,176.4721390207
0.4899323755,9.9242845858,-0.823530054,56.0318982617,175.9780445151
0.5598155886,10.4515050501,0.4638039043,60.079236545,194.5567291567
0.2369256578,7.851319592,-0.5715935744,63.8914487256,200.816378305
0.748300002,12.0074490664,-0.9902972569,62.3477138237,194.0916551865
0.7103359678,11.6630994274,-0.246555741,60.908342892,193.4922499712
0.8781287209,13.4970495769,-0.1894899639,59.9513979938,190.9067441618
0.6547130174,11.1942288126,0.1413212263,58.9933202726,189.6865669491
0.2393166739,7.8744929237,0.6201956663,63.1983256217,204.6959551964
0.8891106334,13.6654359712,-0.0900083541,57.6818090979,184.5953855229
0.6106178006,10.842788793,-0.2557265505,67.688599872,213.7871668633
0.3420155214,8.7790941684,-0.34264325,61.1795688669,193.8254903508
0.6811600632,11.4128355806,-0.8621804714,60.6444139315,189.6223394376
0.7694344399,12.2109567324,0.7984820887,56.4249965253,185.2674000192
0.8837002874,13.5810686853,-0.3865113296,59.8388215622,189.5839080385
0.0064956443,2.5479759781,-0.6618527719,61.4402055919,193.011352916
0.0007075779,0.4253742952,0.5334669648,65.2265357799,210.3469421635
0.654984928,11.1964424744,-0.7115627415,61.7032411447,193.5519097264
0.5977850389,10.7428542332,0.0256340765,63.2799543437,201.9680334138
0.9091893269,14.0073385848,-1.6850981465,57.5946640789,176.358501504
0.756406405,12.0843686886,0.2800831648,61.547479711,198.0428549569
0.5971959217,10.7382870808,1.1072690228,62.6311920352,205.4299212198
0.0327655859,4.4751485749,0.3205971629,53.0696942591,172.8120685918
0.4586324426,9.6883611581,0.2578029944,60.3708992895,194.4017128409
0.3651210552,8.9655895346,0.4624233447,50.0950788128,164.5973531617
0.9102439599,14.0267765557,1.4839334479,60.1937676354,200.0009701456
0.9969370379,18.2228916334,0.8128188429,60.7989145277,198.4608377977
0.3827141686,9.1049196949,-1.9168105365,62.3840085536,189.5679729784
0.7450677732,11.9771462996,-0.0538044225,59.2449259396,189.4657557063
0.0355597516,4.585859058,0.2803776782,57.9804388714,187.3432050051
0.1703297198,7.1414107074,1.8046096686,66.751690893,221.2781210218
0.8058121533,12.5877003852,0.0846171614,60.6182575155,194.2778583533
0.9599345315,15.2497805476,0.6176744958,66.5199962049,214.6483610939
0.1163245318,6.4193118364,-0.2107615017,62.4718732464,198.3618122304
0.2870688562,8.3140955183,1.0286502774,67.3609981828,219.2262459358
0.5770472782,10.5830361829,-1.734405226,69.8657634964,212.9252643591
0.8110114804,12.6448893744,-0.4101999012,63.0565931103,199.1187798249
0.7960440947,12.4827219325,1.1857634091,61.8643453363,203.5218530546
0.8619254834,13.2670330123,-0.8431350257,61.5715897679,192.4990941754
0.7719147804,12.2355026398,-0.8968267207,59.1727825566,185.0342140665
0.8611051915,13.2558945046,-0.1586344903,62.2039578744,197.8187011717
0.1221890822,6.5076605811,0.1602445152,60.4296657119,194.0902197118
0.2300821394,7.7842708967,0.1334092803,65.2303656183,208.3581432563
0.7331557849,11.8671564196,1.2560673295,63.0331179498,207.3796904969
0.0352835809,4.575241551,0.4940061227,63.4800583361,204.910205622
0.0551605036,5.2097441053,-0.3778029202,64.0861168628,202.3693359874
0.8294140389,12.855556731,0.2676786521,59.9708416561,193.2509182287
0.7598182762,12.1171543722,-1.471070358,60.475400469,186.070849617
0.8040168709,12.568170965,0.2395498608,65.4032618794,209.4075349424
0.1064481153,6.2630770623,0.0055452658,63.2856487017,201.8846724341
0.3259335137,8.6464899903,2.4724178122,64.8151261093,218.807467389
0.4709774447,9.7815608621,1.82654135,56.4654758902,190.5291344208
0.3926537775,9.1827730067,1.1166694193,62.7013565709,205.6874168094
0.7164492765,11.7169766343,0.5641417705,59.7850689699,194.1759157623
0.8102854835,12.6368464239,0.6614361565,59.6679761523,194.3111092392
0.2808527737,8.2590698325,-2.019183158,63.7718434172,193.2196144617
0.1419332791,6.7849785034,0.3412487642,59.4158633625,191.9538339082
0.4617216648,9.7117082279,0.1626307248,54.4070358759,176.0342612516
0.6470088759,11.1317725181,0.7223742716,58.1314495068,190.0062198785
0.8571588614,13.2029243592,-2.365998733,61.2818393057,184.0155242521
0.8040367938,12.5683870919,-0.9110440518,61.9101381624,193.1751942281
0.0447418205,4.9056165587,-2.8103074002,56.3950893558,167.1337310665
0.0840706849,5.8653982742,-3.0000724494,61.2818627451,180.8452259881
0.7743701932,12.2599501614,-0.2476524695,55.2616888877,176.5468043155
0.5924181803,10.7013096192,-2.8080547742,61.5764107213,182.6889582925
0.9743865405,15.8487218937,1.8328305652,62.4817002356,208.6092535327
0.4452831096,9.5872366801,0.071650986,60.1455177213,192.7948080942
0.8437984497,13.0305773202,0.7335873981,68.3165685973,220.6176427828
0.760883658,12.1274437805,1.0574995887,65.0788521067,212.5240542635
0.9827382579,16.3417114113,-1.2543634192,59.8660247484,185.3262571492
0.7100878556,11.6609241918,1.4994044814,59.7195706353,198.6557343127
0.0884071877,5.9481136472,-0.5451219373,61.3765189575,193.4039471859
0.2395917496,7.8771507691,-0.9073195154,63.5420247034,198.0894765333
0.250639166,7.9825607714,-0.1441151402,58.0268443368,185.3599573091
0.9770818893,15.9906951896,0.8659602417,61.4644477913,200.7231445824
0.9275733253,14.3738606222,-1.3018198186,63.5596451823,196.1698364542
0.7915021423,12.4349331536,0.3205470832,62.8111110699,202.0360686256
0.4632973229,9.7236095939,-0.2780759302,66.0490260197,208.7566984082
0.7137422757,11.6930522535,1.2092509331,56.023303959,186.1161665427
0.4429703646,9.5696725354,1.6818492538,67.7856626755,223.7662342955
0.3407642145,8.7688649649,0.1359736008,56.1726103256,181.197698981
0.8830615238,13.5712936291,0.2559391867,63.0664288949,202.4789826179
0.7297331234,11.8360181575,-0.2205111415,68.0165840034,214.9471963023
0.7698651808,12.2152087717,-0.1898884539,65.762041327,208.3366817114
0.2277995567,7.7616607837,0.5969732447,63.2535357461,204.7454734615
0.8758523173,13.4634990716,0.4519983086,66.809024554,214.6870652047
0.5196764753,10.1480248697,0.1083020556,69.9872102194,222.5031409361
0.1898855804,7.3650459485,0.0739896269,57.5052603007,184.8857290369
0.7610131551,12.1286961631,-0.5562999996,64.2072961745,201.8403885255
0.7949944253,12.4716220294,-0.3360715244,67.9828495223,214.2681909447
0.9543300942,15.0651164723,-0.9112902306,60.8541779679,190.006082751
0.0590884201,5.3125840408,0.6801810009,62.388964576,202.5677987325
0.9284476277,14.3929796679,-0.5140916785,69.9040790343,219.1417787103
0.9338464933,14.515199117,-0.1734395785,65.634097788,208.0350954714
0.2686756989,8.1495306278,-1.5824362235,61.3884957039,188.2533059941
0.3767222955,9.057698031,0.0342809529,66.3185740037,211.1271267757
0.7988334263,12.5123848296,1.3143273016,60.6228006827,200.4400385561
0.6015029368,10.7717175933,-0.1246243596,72.5599399089,229.0566979288
0.6332872403,11.021717163,1.8285853061,59.6053753089,199.9590524571
0.6372420331,11.0532895796,1.4492308425,65.2323266667,214.9431342126
0.5620585713,10.4685715276,0.8947769326,59.4710513105,194.8870385944
0.3572192155,8.9022949128,0.2185288225,56.2733064513,181.9125634666
0.3310482078,8.6889382295,0.4871294848,65.7260956919,211.6139344997
0.0585368283,5.2984732567,0.3220093708,58.769044846,189.9171813919
0.6619808641,11.2536259851,0.2416797803,60.8290252771,195.6954747332
0.3675831514,8.9852161724,-0.5366537477,51.5567451291,163.9869666488
0.0173562521,3.664911014,0.196881235,63.4174684911,203.2368116482
0.8169036524,12.7108839648,-0.299422916,71.0842550522,223.7556505765
0.3107976909,8.5192283743,-0.7691052527,67.9594962836,212.032962587
0.4611348163,9.7072744549,0.1817945172,57.9388188482,186.7254291306
0.8961189021,13.7792281047,-0.6453957975,61.9712332008,194.6867206149
0.8596220422,13.2358683826,1.4470992426,63.5688462463,209.9420349521
0.4142300838,9.3499693622,0.1183173961,58.5166524925,188.1415444581
0.4368102776,9.5228160131,-0.0484008175,61.1720872045,195.2742575262
0.9394376439,14.6502100421,-1.1335585735,63.9721942674,198.2487899345
0.1072482213,6.2761121687,0.1290665723,62.6812679425,200.6891366891
0.5036835326,10.0277001344,-0.5451488044,58.8518511835,185.8298095282
0.4030235847,9.2634142129,-0.1683522767,68.1695151922,215.6667841934
0.4336661058,9.4988557359,1.1528489892,56.6667807402,187.7645871666
0.5965043905,10.7329281412,0.8459232637,60.8749850491,198.854571466
0.2609356712,8.0786096429,-0.8604612193,66.0866448742,205.9576285259
0.7126546586,11.683470255,-0.7498308494,60.8139332417,190.6926454784
0.8020638819,12.5470488251,0.1003612987,72.0820042818,228.7478193391
0.040010205,4.7482970201,-1.0945941007,63.0629933096,195.7160094255
0.9612680015,15.2967818266,-1.0703389254,65.3700915444,202.7585800063
0.5816943026,10.6186894627,-0.9092567973,59.8514699558,187.0081258811
0.307918543,8.4947231246,-1.3615351757,60.3854901636,186.3487946123
0.235651457,7.8389177707,0.956115061,58.0786848501,191.0166298555
0.9278121472,14.3790654812,1.2596030913,63.6502117995,209.2486508551
0.1445565147,6.819791811,0.0515519895,60.2020584919,192.8639354231
0.8248457117,12.8019727611,-0.1015296625,69.1543208496,218.9553142362
0.4556031239,9.6654484783,1.4039118694,58.2792181277,193.8572137301
0.3386702407,8.7517149708,-1.0580126793,59.2398733388,184.4295566198
0.2138927386,7.6210394131,-1.3467328782,70.156943356,215.7371656772
0.920756927,14.2305440018,0.4186350987,63.5382062091,204.7077941208
0.8851294499,13.6030781215,0.3145278973,65.2109968244,209.2056299596
0.2404865082,7.8857846403,0.3463324487,63.6709606445,204.7445441767
0.0327579239,4.4748344797,0.5682657258,63.1420535841,204.2674893811
0.9666911447,15.5027334597,0.973532096,56.7449187027,187.1024165881
0.4108494117,9.3239184451,0.4001647828,60.6606419522,195.9827497706
0.9039015684,13.9123231058,-0.1860738457,58.769584689,187.3783848383
0.1127818385,6.364401985,1.1334596532,60.168748509,198.1735437929
0.5426381673,10.3212469889,1.6823461154,64.0178741064,212.4653528961
0.3754558149,9.0476873941,-0.5858599888,54.109965836,171.400597564
0.7250829067,11.7940258364,0.9958124853,63.4067470284,207.1993035118
0.0761440154,5.7055111439,1.0389505143,60.0582618452,197.3695381069
0.8380053774,12.9588796646,-0.701106836,63.8415626769,200.0191538509
0.8683065351,13.3552651057,1.5335220766,57.2874307233,191.5299025529
0.534539147,10.2600557318,-0.1536276652,58.3150289334,186.1769484744
0.8907407674,13.691431556,-1.6017998239,64.2745776719,196.814733896
0.2167553289,7.6504050224,2.2627125066,56.2655412362,192.1101862416
0.5941510003,10.7147082218,1.012860072,66.4107541399,216.2965627796
0.0562432364,5.2386532991,1.1262209208,59.5606961346,196.3131930076
0.2958740515,8.3910864217,0.6081615881,59.754132961,194.3032068233
0.0264552673,4.1930488382,-0.7495988472,60.0670926277,188.4532836469
0.6679063733,11.3024180446,-0.6488896048,60.1458482118,189.1930966112
0.0486101448,5.0245550681,0.4883761781,60.1384770567,194.8573120604
0.1009645613,6.1717759728,-2.0715588398,54.7557716385,165.9095207169
0.1716754669,7.1573048981,0.5391028928,58.3542847543,189.7583687267
0.5025046715,10.0188349646,0.5386423206,62.1131890756,201.0327788298
0.2567043672,8.0393824375,-1.2138220803,56.802581976,176.3386355267
0.7493822952,12.0176415652,0.1993262094,61.8840858431,198.6488885764
0.68571549,11.4512258395,-1.5897549507,60.4646411409,185.4451486692
0.134676982,6.6863454132,0.0891439107,63.3560103555,202.5137506198
0.8655878024,13.3173216952,0.5193196077,61.0486811813,197.7426415824
0.8260180883,12.8156383818,0.5196540776,64.9153025602,209.3441780683
0.8526745748,13.1439202789,-1.4362369813,65.78192325,202.1645848436
0.6591522882,11.2304520158,-1.0512828824,63.2748866593,196.5682455661
0.8137336047,12.6752173013,-0.796235595,64.3961102223,201.207152692
0.7428077303,11.9560773512,-0.7130287892,64.1366725772,200.8448737854
0.2254695117,7.7384486346,1.8143232738,63.6449434705,212.0064467807
0.7822077817,12.3390135915,-0.2751469278,61.9897159855,196.5934133176
0.5529525236,10.3993733731,-1.1606158985,58.2844664228,181.0503197758
0.8423159919,13.0120659585,-0.9008331799,64.3317868922,200.4911947771
0.3125945739,8.5344721334,0.0800827827,60.6999285982,194.500199708
0.898980086,13.8272846101,-1.2278356863,60.5483171289,187.5057729549
0.1978350596,7.4518612991,-0.0722399808,64.0817253746,203.8839762199
0.485585928,9.8915842446,-0.8747536517,57.9884187615,181.5914880261
0.0593522263,5.3192962091,-1.1662263385,61.1060052641,189.4868840998
0.9257426166,14.3343925727,1.014317318,65.8266255735,214.5514633107
0.7548714841,12.0697002104,0.1185444868,59.6271994754,191.4743208604
0.3708225326,9.0109730921,0.1723237455,68.0882271451,217.1263001628
0.9276433145,14.375384594,-0.4761916512,53.4426849524,169.9470966013
0.8546505289,13.1697687126,2.0051217082,61.6557802219,206.9929492068
0.9805742062,16.1972660015,-0.9619914922,62.1226036164,193.5578533882
0.2818723901,8.2681353846,0.335947934,66.4427053121,213.0078556063
0.0784663148,5.7536093645,0.0930685013,69.0757379245,219.6925562801
0.6721415173,11.337502808,0.2590170857,64.7917700164,207.6703954777
0.1225288287,6.5126864588,1.9188147698,57.4053227362,193.8100420577
0.7251632416,11.7947482767,0.6368442031,56.1082124777,183.5088584485
0.7398695026,11.9288294236,0.9414893154,49.5111210603,165.2408097579
0.0131778996,3.3372142674,-0.8316092918,68.9180252687,214.5960293474
0.0381029937,4.6805886237,1.7757936568,62.6984047574,208.9741825561
0.4063170082,9.2889119323,0.1149385155,58.1537784749,187.036028002
0.5174631304,10.1313626953,0.1797341138,57.118040087,184.2527908299
0.287895056,8.3213662444,-0.9269606459,68.2204464606,212.0265361523
0.0814551825,5.8139504365,0.1738374498,65.1532123727,208.328824367
0.3344677323,8.7171715676,1.0571330937,58.9140055391,194.0276820858
0.1270408954,6.5785269328,-1.2677086459,65.235384417,201.3676100217
0.2749311947,8.2061009646,2.216382579,56.4607970088,192.4643039212
0.4942113473,9.9564684709,-0.7859563691,56.8548699949,178.6348281392
0.3562778055,8.8947219897,0.9021181444,61.3893216375,200.6785556343
0.4365809374,9.5210693642,0.3493262555,60.7123615579,195.8837159513
0.0541726532,5.1829745833,0.6186107548,59.0465458969,192.2326914648
0.8603807355,13.2460945153,1.1181224947,61.6370421944,202.5017390565
0.9309721068,14.4492103066,-0.2912490226,67.6387945874,213.4601386494
0.1303431154,6.6256880232,-0.4725059236,63.5507171389,200.2896217986
0.5404564117,10.3047508783,-2.4926393717,61.0523272528,182.6937849001
0.5851308333,10.6451115313,0.0627998836,63.7356368558,203.5209099855
0.9447239451,14.7871494099,0.285446842,62.7742830487,201.7500833562
0.0491257615,5.0398300922,-0.1453657059,65.4570194255,207.6442297468
0.4478420147,9.60665384,-0.8652927788,58.7833525069,184.0235936265
0.5432170327,10.3256253626,-1.0393008083,66.2765111015,205.6330292627
0.1272112969,6.5809812451,-0.0778318435,72.68250624,229.6583595028
0.2453034872,7.9319687597,1.590324293,60.3018595328,200.8572000634
0.2922069477,8.3591535453,0.5997946544,63.452908345,205.3576983068
0.8602232186,13.2439683052,-0.0185603597,62.5246468921,199.4811388779
0.140674067,6.7681125723,-0.0154034214,61.4454150164,196.2592279424
0.4710938041,9.782438185,-0.697319875,56.4226978542,177.7814941878
0.6690666904,11.3120124339,0.059549194,62.5622006627,199.9843479581
0.0725012936,5.6277629195,0.4586964777,69.7794371204,223.6317937499
0.0472616123,4.983983302,-0.6221422395,67.0145338554,209.9328903688
0.4060541138,9.2868785106,-0.3832463522,71.2487524557,223.8300256059
0.961875411,15.3186294176,-0.6842951307,64.553488706,202.2389904647
0.1134005613,6.3740795361,-0.7594826157,65.1592807376,203.6804291344
0.4559854718,9.6683414698,-1.9527127686,59.8668204224,181.8368974245
0.8855798135,13.6100541486,0.6192624873,62.568641207,202.8022360575
0.7373867086,11.9059284822,-0.2974860037,55.6306891909,177.4046375543
0.0570981333,5.2611707694,0.2390016909,68.0474170288,217.3372595412
0.011761708,3.2055247683,0.3358986325,56.7235489599,183.8501400424
0.4792022028,9.8435320505,1.8166567117,59.412161913,199.3197692971
0.3456587263,8.8087965531,1.3292504577,59.1206898634,196.0083218789
0.2788956673,8.2416241843,-0.9334300897,67.9620163478,211.218898595
0.7027506521,11.5969846363,1.9518374887,62.512545532,209.2968240394
0.4888575084,9.9161988496,1.1225236447,66.3043616297,216.5257031124
0.0416381878,4.8040474005,1.0706801433,62.8397272595,205.872582495
0.5380934814,10.2868952908,1.1182306328,60.8644354708,200.1844595763
0.7994520799,12.5189971565,2.2348812068,58.9288194645,199.9608644275
0.6539117836,11.1877096304,2.4476122817,68.7311071888,230.431382975
0.6004459991,10.7635050574,0.0350139705,62.3897361261,199.344278231
0.4815667889,9.8613350162,0.5480366833,69.8681517637,224.3446387075
0.132370906,6.6542395432,0.686429286,64.3013978327,208.3363399281
0.1817391859,7.2737287892,-0.6912345572,65.08654996,203.803477094
0.2959530356,8.3917721949,0.0128930431,59.4624974785,190.4519576513
0.8145059436,12.6838720279,-2.5466416448,62.6754204275,187.2930530584
0.9697660217,15.6320978141,-0.3739585253,64.0962916273,202.4190822554
0.2343365652,7.8260810639,0.6368896594,63.5960313056,205.9725422137
0.6406303432,11.0804325479,-1.1169069822,61.8265909148,191.8952378337
0.9951561587,17.7603463819,0.1121820704,62.5587602971,200.2371912436
0.9022210583,13.8829341726,-0.7274935026,69.8901990681,218.0331296911
0.310842444,8.5196084976,0.0954670812,59.8748771621,192.1019668922
0.7958154348,12.4803010382,-0.2131598675,66.1486074609,209.3800230453
0.7218236427,11.7648026876,-0.6520782632,60.4936535632,190.2205693736
0.6802086518,11.4048470174,-1.2032850066,61.5508097068,190.6360040872
0.112422056,6.3587571256,-0.058303112,57.7768757955,185.0391118263
0.7907157794,12.4267220483,0.4255827504,53.9776014031,176.0607179612
0.210367003,7.5845545776,-1.3606451789,65.2497206062,200.9459359242
0.3561856146,8.8939800063,-0.0902134556,58.6236165356,187.4197823287
0.3968420571,9.2154111539,-0.1334015088,69.2329023231,219.0316994255
0.257691527,8.0485638909,1.1952014054,61.2484503118,201.7213579623
0.8011739796,12.5374660533,-0.5208928092,68.8483094927,215.9404644322
0.1152421329,6.4026629752,1.0477612364,63.7301256382,208.4291830966
0.2186549816,7.6697687184,0.8323914808,54.8639117458,180.7536926413
0.410184162,9.3187861906,0.6272351921,56.8431373095,185.6655878891
0.3426623477,8.7843762874,-1.6394158229,58.1711587772,178.3163972174
0.4382945595,9.5341163767,0.5484889024,60.2099718251,195.3723599872
0.4222754566,9.4117728906,0.0982556362,60.1833373754,193.0412903073
0.7689280589,12.2059636875,1.0333318165,56.6638033132,187.1580690222
0.7339940558,11.874813371,0.1087236248,68.5544719477,218.2070339672
0.916376509,14.143312038,0.5643355309,58.3209351688,189.7844831608
0.6022021654,10.7771538618,-0.3396828995,65.926428327,208.0808704837
0.0330471399,4.4866488045,0.4519305435,60.5659145849,195.9573964722
0.2857009941,8.3020362212,0.2883547616,68.6559950832,219.4097590575
